en,es,vi,de,ar,ja,hi
avoidant personality disorder,trastorno de personalidad por evitación,rối loạn nhân cách né tránh,vermeidende Persönlichkeitsstörung,اضطراب الشخصية التجنبية,回避性パーソナリティ障害,एवोईदंत व्यक्तित्व विकार
axillary node clearance,extirpación de ganglios axilares,nạo hạch nách,Axilläre Lymphknotenentfernung,استئصال العقد الليمفاوية الإبطية,腋窩リンパ節郭清,एक्सिलरी नोड क्लीयरेंस
babies and toddlers,bebés y niños pequeños,trẻ sơ sinh và trẻ mới biết đi,Babys und Kleinkinder,الرضع والأطفال الصغار,赤ちゃんと幼児,शिशुओं और छोटे बच्चों
baby immunisation,vacunación infantil,tiêm chủng cho trẻ sơ sinh,Säuglingsimpfungen,تطعيم الأطفال,乳幼児の予防接種,शिशु टीकाकरण
baby weight,peso del bebé,cân nặng của em bé,Babygewicht,وزن الطفل,赤ちゃんの体重,शिशु का वजन
back injuries - symptoms and treatments,Lesiones de espalda: síntomas y tratamientos,Chấn thương lưng - triệu chứng và cách điều trị,Rückenverletzungen – Symptome und Behandlungsmethoden,إصابات الظهر - الأعراض والعلاجات,背中の怪我 - 症状と治療法,पीठ की चोटें - लक्षण और उपचार
back pain — an overview,Dolor de espalda: una visión general,Đau lưng — tổng quan,Rückenschmerzen – ein Überblick,آلام الظهر - نظرة عامة,腰痛の概要,पीठ दर्द — एक संक्षिप्त विवरण
bacterial infections,infecciones bacterianas,nhiễm trùng do vi khuẩn,bakterielle Infektionen,العدوى البكتيرية,細菌感染症,जीवाण्विक संक्रमण
bacterial pneumonia,neumonía bacteriana,viêm phổi do vi khuẩn,bakterielle Lungenentzündung,الالتهاب الرئوي البكتيري,細菌性肺炎,जीवाणु निमोनिया
bacterial vaginosis,vaginosis bacteriana,viêm âm đạo do vi khuẩn,bakterielle Vaginose,التهاب المهبل البكتيري,細菌性膣炎,बैक्टीरियल वेजिनोसिस
bacterial vs viral infections,infecciones bacterianas versus infecciones virales,nhiễm trùng do vi khuẩn so với nhiễm trùng do virus,bakterielle vs. virale Infektionen,العدوى البكتيرية مقابل العدوى الفيروسية,細菌感染とウイルス感染,जीवाणु संक्रमण बनाम वायरल संक्रमण
bad breath,mal aliento,hơi thở hôi,Mundgeruch,رائحة الفم الكريهة,口臭,बदबूदार सांस
baker's cysts,quistes del panadero,u nang Baker,Bäckerzysten,أكياس الخباز,ベーカー嚢胞,बेकर की सिस्ट
balanced diet,alimentación equilibrada,chế độ ăn uống cân bằng,ausgewogene Ernährung,نظام غذائي متوازن,バランスの取れた食事,संतुलित आहार
balanitis and balanoposthitis,balanitis y balanopostitis,viêm bao quy đầu và viêm bao quy đầu,Balanitis und Balanoposthitis,التهاب الحشفة والتهاب الحشفة والقلفة,亀頭炎および亀頭包皮炎,बैलानाइटिस और बैलानोपोस्टहाइटिस
bariatric surgery guide,guía de cirugía bariátrica,hướng dẫn phẫu thuật giảm béo,Leitfaden zur bariatrischen Chirurgie,دليل جراحة السمنة,肥満外科手術ガイド,बेरिएट्रिक सर्जरी गाइड
barmah forest virus,virus forestal de Barmah,virus rừng barmah,Barmah-Wald-Virus,فيروس غابة بارما,バルマ森林ウイルス,बरमाह वन वायरस
bartholin’s cysts,quistes de Bartholin,u nang Bartholin,Bartholin-Zysten,أكياس بارثولين,バルトリン腺嚢胞,बार्थोलिन सिस्ट
basal cell carcinoma,carcinoma basocelular,ung thư tế bào đáy,Basalzellkarzinom,سرطان الخلايا القاعدية,基底細胞癌,बैसल सेल कर्सिनोमा
bat bites,mordeduras de murciélago,vết cắn của dơi,Fledermausbisse,عضات الخفافيش,コウモリに噛まれた,चमगादड़ के काटने
beach safety,seguridad en la playa,an toàn bãi biển,Strandsicherheit,السلامة على الشاطئ,ビーチでの安全対策,समुद्र तट सुरक्षा
bed bugs,chinches de cama,rệp giường,Bettwanzen,بق الفراش,トコジラミ,खटमल
bedwetting in older children,enuresis nocturna en niños mayores,đái dầm ở trẻ lớn,Bettnässen bei älteren Kindern,التبول اللاإرادي عند الأطفال الأكبر سناً,年長児の夜尿症,बड़े बच्चों में बिस्तर गीला करना
bee and wasp stings,picaduras de abejas y avispas,vết đốt của ong và ong bắp cày,Bienen- und Wespenstiche,لسعات النحل والدبابير,ミツバチやスズメバチの毒針,मधुमक्खी और ततैया के डंक
behaviour problems,problemas de comportamiento,vấn đề hành vi,Verhaltensprobleme,مشاكل سلوكية,行動上の問題,व्यवहार संबंधी समस्याएं
bell's palsy,parálisis de Bell,liệt dây thần kinh mặt,Bell-Lähmung,شلل بيل,ベル麻痺,एक तरफ के चेहरे का पक्षाघात
benefits of volunteering,beneficios del voluntariado,lợi ích của việc tình nguyện,Vorteile des Ehrenamts,فوائد التطوع,ボランティア活動のメリット,स्वयंसेवा के लाभ
benign prostate hypertrophy,hipertrofia prostática benigna,phì đại tuyến tiền liệt lành tính,gutartige Prostatahypertrophie,تضخم البروستاتا الحميد,良性前立腺肥大症,सौम्य प्रोस्टेट अतिवृद्धि
benign tumours,tumores benignos,khối u lành tính,gutartige Tumore,الأورام الحميدة,良性腫瘍,सौम्य ट्यूमर
bereavement,duelo,sự mất mát,Trauer,الثكل,死別,वियोग
beta blockers,betabloqueadores,thuốc chẹn beta,Betablocker,حاصرات بيتا,ベータ遮断薬,बीटा ब्लॉकर्स
bike riding,andar en bicicleta,đạp xe,Fahrradfahren,ركوب الدراجات,自転車に乗る,बाइक की सवारी
bilateral vasectomy,vasectomía bilateral,thắt ống dẫn tinh hai bên,beidseitige Vasektomie,استئصال الأسهر الثنائي,両側精管切除術,द्विपक्षीय नसबंदी
binge drinking,consumo excesivo de alcohol,uống rượu say sưa,exzessiver Alkoholkonsum,الإفراط في شرب الكحول,大量飲酒,अनियंत्रित मदपान
binge eating disorder,trastorno por atracones,rối loạn ăn uống vô độ,Essanfallstörung,اضطراب نهم الطعام,過食症,ज्यादा खाने से होने वाली गड़बड़ी
biopsy,biopsia,sinh thiết,Biopsie,خزعة,生検,बायोप्सी
bipolar disorder,trastorno bipolar,rối loạn lưỡng cực,bipolare Störung,اضطراب ذو اتجاهين,双極性障害,दोध्रुवी विकार
bipolar medicines,medicamentos para el trastorno bipolar,thuốc điều trị rối loạn lưỡng cực,Medikamente gegen bipolare Störungen,أدوية ثنائية القطب,双極性障害の薬,द्विध्रुवी दवाएं
bird flu,gripe aviar,cúm gia cầm,Vogelgrippe,إنفلونزا الطيور,鳥インフルエンザ,बर्ड फलू
birth control,control de la natalidad,biện pháp tránh thai,Geburtenkontrolle,وسائل منع الحمل,避妊,जन्म नियंत्रण
birth differences,diferencias de nacimiento,sự khác biệt khi sinh ra,Geburtsunterschiede,اختلافات الولادة,出生時の違い,जन्म संबंधी अंतर
bites and stings,picaduras y mordeduras,vết cắn và vết chích,Bisse und Stiche,لدغات ولسعات,噛み傷と刺傷,काटने और डंक मारने
black eye,ojo morado,mắt đen,blaues Auge,كدمة سوداء حول العين,目の周りにあざができる,बुरी नज़र
blackouts,apagones,mất điện,Stromausfälle,انقطاع التيار الكهربائي,停電,ब्लैकआउट
bladder,vejiga,bàng quang,Blase,المثانة,膀胱,मूत्राशय
bladder cancer,cáncer de vejiga,ung thư bàng quang,Blasenkrebs,سرطان المثانة,膀胱がん,मूत्राशय कैंसर
bladder prolapse,prolapso de vejiga,sa bàng quang,Blasenvorfall,هبوط المثانة,膀胱脱,मूत्राशय का प्रोलैप्स
bladder-neck incision,incisión del cuello de la vejiga,vết mổ cổ bàng quang,Blasenhalsinzision,شق عنق المثانة,膀胱頸部切開,मूत्राशय-गर्दन चीरा
bleeding after menopause,sangrado después de la menopausia,chảy máu sau mãn kinh,Blutungen nach den Wechseljahren,النزيف بعد انقطاع الطمث,閉経後の出血,रजोनिवृत्ति के बाद रक्तस्राव
bleeding between periods,sangrado entre períodos,chảy máu giữa các kỳ kinh nguyệt,Zwischenblutungen,نزيف بين فترات الحيض,生理と生理の間の出血,मासिक धर्म के बीच रक्तस्राव
bleeding gums,encías sangrantes,chảy máu nướu răng,Zahnfleischbluten,نزيف اللثة,歯茎からの出血,मसूड़ों से खून बहना
blepharitis,blefaritis,viêm bờ mi,Blepharitis,التهاب الجفن,眼瞼炎,ब्लेफेराइटिस
blepharoplasty,blefaroplastia,phẫu thuật mí mắt,Blepharoplastik,عملية تجميل الجفون,眼瞼形成術,blepharoplasty
blepharospasm,blefaroespasmo,co thắt mí mắt,Blepharospasmus,تشنج الجفن,眼瞼痙攣,नेत्रच्छदाकर्ष
blindness,ceguera,mù lòa,Blindheit,العمى,失明,अंधापन
blisters,ampollas,vết phồng rộp,Blasen,بثور,水ぶくれ,फफोले
bloating,hinchazón,đầy hơi,Blähungen,الانتفاخ,膨満感,सूजन
blocked nose,nariz tapada,nghẹt mũi,verstopfte Nase,انسداد الأنف,鼻づまり,बंद नाक
blocked tear duct,conducto lagrimal obstruido,tắc ống dẫn nước mắt,verstopfter Tränenkanal,انسداد القناة الدمعية,涙管閉塞,आंसू नलिका अवरुद्ध
