en,es,vi,ar,de,hi,ja
autism spectrum disorder,trastorno del espectro autista,rối loạn phổ tự kỷ,اضطراب طيف التوحد,Autismus-Spektrum-Störung,ऑटिज्म स्पेक्ट्रम विकार,自閉症スペクトラム障害
autoimmune conditions,enfermedades autoinmunes,các bệnh tự miễn dịch,أمراض المناعة الذاتية,Autoimmunerkrankungen,ऑटोइम्यून स्थितियां,自己免疫疾患
autoimmune diseases,enfermedades autoinmunes,bệnh tự miễn dịch,أمراض المناعة الذاتية,Autoimmunerkrankungen,ऑटोइम्यून बीमारियों,自己免疫疾患
avian influenza,gripe aviar,cúm gia cầm,إنفلونزا الطيور,Vogelgrippe,एवियन इन्फ्लूएंजा,鳥インフルエンザ
avoidant personality disorder,trastorno de personalidad por evitación,rối loạn nhân cách né tránh,اضطراب الشخصية التجنبية,vermeidende Persönlichkeitsstörung,एवोईदंत व्यक्तित्व विकार,回避性パーソナリティ障害
axillary node clearance,extirpación de ganglios axilares,nạo hạch nách,استئصال العقد الليمفاوية الإبطية,Axilläre Lymphknotenentfernung,एक्सिलरी नोड क्लीयरेंस,腋窩リンパ節郭清
babies and toddlers,bebés y niños pequeños,trẻ sơ sinh và trẻ mới biết đi,الرضع والأطفال الصغار,Babys und Kleinkinder,शिशुओं और छोटे बच्चों,赤ちゃんと幼児
baby immunisation,vacunación infantil,tiêm chủng cho trẻ sơ sinh,تطعيم الأطفال,Säuglingsimpfungen,शिशु टीकाकरण,乳幼児の予防接種
baby weight,peso del bebé,cân nặng của em bé,وزن الطفل,Babygewicht,शिशु का वजन,赤ちゃんの体重
back injuries - symptoms and treatments,Lesiones de espalda: síntomas y tratamientos,Chấn thương lưng - triệu chứng và cách điều trị,إصابات الظهر - الأعراض والعلاجات,Rückenverletzungen – Symptome und Behandlungsmethoden,पीठ की चोटें - लक्षण और उपचार,背中の怪我 - 症状と治療法
back pain — an overview,Dolor de espalda: una visión general,Đau lưng — tổng quan,آلام الظهر - نظرة عامة,Rückenschmerzen – ein Überblick,पीठ दर्द — एक संक्षिप्त विवरण,腰痛の概要
bacterial infections,infecciones bacterianas,nhiễm trùng do vi khuẩn,العدوى البكتيرية,bakterielle Infektionen,जीवाण्विक संक्रमण,細菌感染症
bacterial pneumonia,neumonía bacteriana,viêm phổi do vi khuẩn,الالتهاب الرئوي البكتيري,bakterielle Lungenentzündung,जीवाणु निमोनिया,細菌性肺炎
bacterial vaginosis,vaginosis bacteriana,viêm âm đạo do vi khuẩn,التهاب المهبل البكتيري,bakterielle Vaginose,बैक्टीरियल वेजिनोसिस,細菌性膣炎
bacterial vs viral infections,infecciones bacterianas versus infecciones virales,nhiễm trùng do vi khuẩn so với nhiễm trùng do virus,العدوى البكتيرية مقابل العدوى الفيروسية,bakterielle vs. virale Infektionen,जीवाणु संक्रमण बनाम वायरल संक्रमण,細菌感染とウイルス感染
bad breath,mal aliento,hơi thở hôi,رائحة الفم الكريهة,Mundgeruch,बदबूदार सांस,口臭
baker's cysts,quistes del panadero,u nang Baker,أكياس الخباز,Bäckerzysten,बेकर की सिस्ट,ベーカー嚢胞
balanced diet,alimentación equilibrada,chế độ ăn uống cân bằng,نظام غذائي متوازن,ausgewogene Ernährung,संतुलित आहार,バランスの取れた食事
balanitis and balanoposthitis,balanitis y balanopostitis,viêm bao quy đầu và viêm bao quy đầu,التهاب الحشفة والتهاب الحشفة والقلفة,Balanitis und Balanoposthitis,बैलानाइटिस और बैलानोपोस्टहाइटिस,亀頭炎および亀頭包皮炎
bariatric surgery guide,guía de cirugía bariátrica,hướng dẫn phẫu thuật giảm béo,دليل جراحة السمنة,Leitfaden zur bariatrischen Chirurgie,बेरिएट्रिक सर्जरी गाइड,肥満外科手術ガイド
barmah forest virus,virus forestal de Barmah,virus rừng barmah,فيروس غابة بارما,Barmah-Wald-Virus,बरमाह वन वायरस,バルマ森林ウイルス
bartholin’s cysts,quistes de Bartholin,u nang Bartholin,أكياس بارثولين,Bartholin-Zysten,बार्थोलिन सिस्ट,バルトリン腺嚢胞
basal cell carcinoma,carcinoma basocelular,ung thư tế bào đáy,سرطان الخلايا القاعدية,Basalzellkarzinom,बैसल सेल कर्सिनोमा,基底細胞癌
bat bites,mordeduras de murciélago,vết cắn của dơi,عضات الخفافيش,Fledermausbisse,चमगादड़ के काटने,コウモリに噛まれた
beach safety,seguridad en la playa,an toàn bãi biển,السلامة على الشاطئ,Strandsicherheit,समुद्र तट सुरक्षा,ビーチでの安全対策
bed bugs,chinches de cama,rệp giường,بق الفراش,Bettwanzen,खटमल,トコジラミ
bedwetting in older children,enuresis nocturna en niños mayores,đái dầm ở trẻ lớn,التبول اللاإرادي عند الأطفال الأكبر سناً,Bettnässen bei älteren Kindern,बड़े बच्चों में बिस्तर गीला करना,年長児の夜尿症
bee and wasp stings,picaduras de abejas y avispas,vết đốt của ong và ong bắp cày,لسعات النحل والدبابير,Bienen- und Wespenstiche,मधुमक्खी और ततैया के डंक,ミツバチやスズメバチの毒針
behaviour problems,problemas de comportamiento,vấn đề hành vi,مشاكل سلوكية,Verhaltensprobleme,व्यवहार संबंधी समस्याएं,行動上の問題
bell's palsy,parálisis de Bell,liệt dây thần kinh mặt,شلل بيل,Bell-Lähmung,एक तरफ के चेहरे का पक्षाघात,ベル麻痺
benefits of volunteering,beneficios del voluntariado,lợi ích của việc tình nguyện,فوائد التطوع,Vorteile des Ehrenamts,स्वयंसेवा के लाभ,ボランティア活動のメリット
benign prostate hypertrophy,hipertrofia prostática benigna,phì đại tuyến tiền liệt lành tính,تضخم البروستاتا الحميد,gutartige Prostatahypertrophie,सौम्य प्रोस्टेट अतिवृद्धि,良性前立腺肥大症
benign tumours,tumores benignos,khối u lành tính,الأورام الحميدة,gutartige Tumore,सौम्य ट्यूमर,良性腫瘍
bereavement,duelo,sự mất mát,الثكل,Trauer,वियोग,死別
beta blockers,betabloqueadores,thuốc chẹn beta,حاصرات بيتا,Betablocker,बीटा ब्लॉकर्स,ベータ遮断薬
bike riding,andar en bicicleta,đạp xe,ركوب الدراجات,Fahrradfahren,बाइक की सवारी,自転車に乗る
bilateral vasectomy,vasectomía bilateral,thắt ống dẫn tinh hai bên,استئصال الأسهر الثنائي,beidseitige Vasektomie,द्विपक्षीय नसबंदी,両側精管切除術
binge drinking,consumo excesivo de alcohol,uống rượu say sưa,الإفراط في شرب الكحول,exzessiver Alkoholkonsum,अनियंत्रित मदपान,大量飲酒
binge eating disorder,trastorno por atracones,rối loạn ăn uống vô độ,اضطراب نهم الطعام,Essanfallstörung,ज्यादा खाने से होने वाली गड़बड़ी,過食症
biopsy,biopsia,sinh thiết,خزعة,Biopsie,बायोप्सी,生検
bipolar disorder,trastorno bipolar,rối loạn lưỡng cực,اضطراب ذو اتجاهين,bipolare Störung,दोध्रुवी विकार,双極性障害
bipolar medicines,medicamentos para el trastorno bipolar,thuốc điều trị rối loạn lưỡng cực,أدوية ثنائية القطب,Medikamente gegen bipolare Störungen,द्विध्रुवी दवाएं,双極性障害の薬
bird flu,gripe aviar,cúm gia cầm,إنفلونزا الطيور,Vogelgrippe,बर्ड फलू,鳥インフルエンザ
birth control,control de la natalidad,biện pháp tránh thai,وسائل منع الحمل,Geburtenkontrolle,जन्म नियंत्रण,避妊
birth differences,diferencias de nacimiento,sự khác biệt khi sinh ra,اختلافات الولادة,Geburtsunterschiede,जन्म संबंधी अंतर,出生時の違い
bites and stings,picaduras y mordeduras,vết cắn và vết chích,لدغات ولسعات,Bisse und Stiche,काटने और डंक मारने,噛み傷と刺傷
black eye,ojo morado,mắt đen,كدمة سوداء حول العين,blaues Auge,बुरी नज़र,目の周りにあざができる
blackouts,apagones,mất điện,انقطاع التيار الكهربائي,Stromausfälle,ब्लैकआउट,停電
bladder,vejiga,bàng quang,المثانة,Blase,मूत्राशय,膀胱
bladder cancer,cáncer de vejiga,ung thư bàng quang,سرطان المثانة,Blasenkrebs,मूत्राशय कैंसर,膀胱がん
bladder prolapse,prolapso de vejiga,sa bàng quang,هبوط المثانة,Blasenvorfall,मूत्राशय का प्रोलैप्स,膀胱脱
bladder-neck incision,incisión del cuello de la vejiga,vết mổ cổ bàng quang,شق عنق المثانة,Blasenhalsinzision,मूत्राशय-गर्दन चीरा,膀胱頸部切開
bleeding after menopause,sangrado después de la menopausia,chảy máu sau mãn kinh,النزيف بعد انقطاع الطمث,Blutungen nach den Wechseljahren,रजोनिवृत्ति के बाद रक्तस्राव,閉経後の出血
bleeding between periods,sangrado entre períodos,chảy máu giữa các kỳ kinh nguyệt,نزيف بين فترات الحيض,Zwischenblutungen,मासिक धर्म के बीच रक्तस्राव,生理と生理の間の出血
bleeding gums,encías sangrantes,chảy máu nướu răng,نزيف اللثة,Zahnfleischbluten,मसूड़ों से खून बहना,歯茎からの出血
